url,source,date_seen
https://github.com/mlverse/chattr/blob/HEAD/NEWS.md#chattr-0-1-0,chattr,2026-04-17
https://github.com/edubruell/tidyllm/blob/HEAD/NEWS.md#tidyllm-0-4-0,tidyllm,2026-04-17
https://github.com/JBGruber/rollama/blob/HEAD/NEWS.md#rollama-0-2-1,rollama,2026-04-17
https://github.com/JBGruber/rollama/blob/HEAD/NEWS.md#rollama-0-2-0,rollama,2026-04-17
https://github.com/JBGruber/rollama/blob/HEAD/NEWS.md#rollama-0-1-0,rollama,2026-04-17
https://github.com/JBGruber/rollama/blob/HEAD/NEWS.md#rollama-0-0-3,rollama,2026-04-17
https://github.com/JBGruber/rollama/blob/HEAD/NEWS.md#rollama-0-0-2,rollama,2026-04-17
https://github.com/hauselin/ollama-r/blob/HEAD/NEWS.md#ollamar-1-2-2,ollamar,2026-04-17
https://github.com/hauselin/ollama-r/blob/HEAD/NEWS.md#ollamar-1-2-1,ollamar,2026-04-17
https://github.com/hauselin/ollama-r/blob/HEAD/NEWS.md#ollamar-1-2-0,ollamar,2026-04-17
https://github.com/hauselin/ollama-r/blob/HEAD/NEWS.md#ollamar-1-1-1,ollamar,2026-04-17
https://github.com/hauselin/ollama-r/blob/HEAD/NEWS.md#ollamar-1-0-0,ollamar,2026-04-17
https://github.com/JamesHWade/gpttools/blob/HEAD/NEWS.md#gpttools-0-0-8,gpttools,2026-04-17
https://hamel.dev/blog/posts/revenge/,Hamel Husain's Blog,2026-04-17
https://hamel.dev/blog/posts/evals-skills/,Hamel Husain's Blog,2026-04-17
https://hamel.dev/blog/posts/ai-stack/,Hamel Husain's Blog,2026-04-17
https://hamel.dev/blog/posts/evals-faq/,Hamel Husain's Blog,2026-04-17
https://hamel.dev/blog/posts/eval-tools/,Hamel Husain's Blog,2026-04-17
https://hamel.dev/,Hamel Husain's Blog,2026-04-17
https://hamel.dev/,Hamel Husain's Blog,2026-04-17
https://hamel.dev/blog/posts/field-guide/,Hamel Husain's Blog,2026-04-17
https://hamel.dev/,Hamel Husain's Blog,2026-04-17
https://hamel.dev/,Hamel Husain's Blog,2026-04-17
https://hamel.dev/blog/posts/audience/,Hamel Husain's Blog,2026-04-17
https://hamel.dev/blog/posts/llm-judge/,Hamel Husain's Blog,2026-04-17
https://hamel.dev/,Hamel Husain's Blog,2026-04-17
https://hamel.dev/blog/posts/course/,Hamel Husain's Blog,2026-04-17
https://hamel.dev/,Hamel Husain's Blog,2026-04-17
https://hamel.dev/blog/posts/drift/,Hamel Husain's Blog,2026-04-17
https://hamel.dev/blog/posts/evals/,Hamel Husain's Blog,2026-04-17
https://hamel.dev/blog/posts/fine_tuning_valuable.html,Hamel Husain's Blog,2026-04-17
https://hamel.dev/blog/posts/prompt/,Hamel Husain's Blog,2026-04-17
https://hamel.dev/blog/posts/axolotl/,Hamel Husain's Blog,2026-04-17
https://shiny.posit.co/blog/posts/shiny-python-1.6/,Shiny Blog,2026-04-17
https://shiny.posit.co/blog/posts/querychat-python-r/,Shiny Blog,2026-04-17
https://shiny.posit.co/blog/posts/shiny-r-1.12/,Shiny Blog,2026-04-17
https://shiny.posit.co/blog/posts/conf-2025-shinytalks/,Shiny Blog,2026-04-17
https://shiny.posit.co/blog/posts/shinychat-tool-ui/,Shiny Blog,2026-04-17
https://shiny.posit.co/blog/posts/promises-1.5.0/,Shiny Blog,2026-04-17
https://shiny.posit.co/blog/posts/shiny-side-of-llms-part-3/,Shiny Blog,2026-04-17
https://shiny.posit.co/blog/posts/shiny-at-conf-2025/,Shiny Blog,2026-04-17
https://shiny.posit.co/blog/posts/shiny-side-of-llms-part-2/,Shiny Blog,2026-04-17
https://shiny.posit.co/blog/posts/shiny-side-of-llms-part-1/,Shiny Blog,2026-04-17
https://shiny.posit.co/blog/posts/shiny-at-scipy-2025/,Shiny Blog,2026-04-17
https://shiny.posit.co/blog/posts/shiny-python-1.4/,Shiny Blog,2026-04-17
https://shiny.posit.co/blog/posts/chromote-0.5.0/,Shiny Blog,2026-04-17
https://shiny.posit.co/blog/posts/responsive-shiny-layouts/,Shiny Blog,2026-04-17
https://shiny.posit.co/blog/posts/dynamic-accordion-panels/,Shiny Blog,2026-04-17
https://shiny.posit.co/blog/posts/bslib-0.9.0/,Shiny Blog,2026-04-17
https://shiny.posit.co/blog/posts/shiny-python-1.2-brand-yml/,Shiny Blog,2026-04-17
https://shiny.posit.co/blog/posts/conf-2024-shinytalks/,Shiny Blog,2026-04-17
https://shiny.posit.co/blog/posts/shiny-python-1.2/,Shiny Blog,2026-04-17
https://shiny.posit.co/blog/posts/shiny-python-testing/,Shiny Blog,2026-04-17
https://simonpcouch.com/blog/2026-04-16-local-agents-2/,Simon Couch's Blog,2026-04-17
https://simonpcouch.com/blog/2026-03-06-nes/,Simon Couch's Blog,2026-04-17
https://simonpcouch.com/blog/2026-03-05-posit-ai/,Simon Couch's Blog,2026-04-17
https://simonpcouch.com/blog/2026-01-20-cc-impact/,Simon Couch's Blog,2026-04-17
https://simonpcouch.com/blog/2025-12-10-chores-0-3-0/,Simon Couch's Blog,2026-04-17
https://simonpcouch.com/blog/2025-12-04-local-agents/,Simon Couch's Blog,2026-04-17
https://simonpcouch.com/blog/2025-12-03-wrapped-databot/,Simon Couch's Blog,2026-04-17
https://simonpcouch.com/blog/2025-11-26-bluffbench/,Simon Couch's Blog,2026-04-17
https://simonpcouch.com/blog/2025-11-11-sidekick/,Simon Couch's Blog,2026-04-17
https://simonpcouch.com/blog/2025-10-08-newsletter/,Simon Couch's Blog,2026-04-17
https://simonpcouch.com/blog/2025-08-26-predictive/,Simon Couch's Blog,2026-04-17
https://simonpcouch.com/blog/2025-08-14-mcptools/,Simon Couch's Blog,2026-04-17
https://simonpcouch.com/blog/2025-07-17-claude-code-2/,Simon Couch's Blog,2026-04-17
https://simonpcouch.com/blog/2025-07-14-kimi-k2/,Simon Couch's Blog,2026-04-17
https://simonpcouch.com/blog/2025-05-27-claude-4/,Simon Couch's Blog,2026-04-17
https://simonpcouch.com/blog/2025-05-21-gemini-2-5-flash/,Simon Couch's Blog,2026-04-17
https://simonpcouch.com/blog/2025-05-07-gemini-2-5-pro-new/,Simon Couch's Blog,2026-04-17
https://simonpcouch.com/blog/2025-04-18-o3-o4-mini/,Simon Couch's Blog,2026-04-17
https://simonpcouch.com/blog/2025-04-15-gpt-4-1/,Simon Couch's Blog,2026-04-17
https://simonpcouch.com/blog/2025-04-11-chores/,Simon Couch's Blog,2026-04-17
https://simonwillison.net/2026/Apr/18/opus-system-prompt/#atom-everything,Simon Willison's Weblog,2026-04-19
https://simonwillison.net/2026/Apr/18/extract-system-prompts/#atom-everything,Simon Willison's Weblog,2026-04-19
https://simonwillison.net/guides/agentic-engineering-patterns/adding-a-new-content-type/#atom-everything,Simon Willison's Weblog,2026-04-19
https://simonwillison.net/2026/Apr/17/pycon-us-2026/#atom-everything,Simon Willison's Weblog,2026-04-19
https://www.oneusefulthing.org/p/sign-of-the-future-gpt-55,One Useful Thing,2026-04-26
